"","X","brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price","HighValueCar","engine_power_numeric"
"1475",1475,"Ford","Bronco Outer Banks Advanced",2022,12000,"Gasoline","315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Gray","Brown","At least 1 accident or damage reported","Yes",65999,1,3.6624
"1476",1476,"Tesla","Model X 75D",2017,70579,"Electric","518.0HP Electric Motor Electric Fuel System","A/T","Black","White","None reported","Yes",42250,0,518
"1477",1477,"Jeep","Wrangler Unlimited Sport",2010,107000,"Gasoline","205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",17500,0,3.6624
"1478",1478,"Honda","Pilot Elite",2021,42653,"Gasoline","3.5L V6 24V GDI SOHC","9-Speed Automatic","Gray","Black","None reported","No",38998,0,3.5624
"1479",1479,"Acura","TL 3.2",2008,193783,"Gasoline","258.0HP 3.2L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",10000,0,3.6624
"1480",1480,"Lexus","IS 350 Base",2014,123000,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",18000,0,3.6624
"1481",1481,"Chevrolet","Equinox LT",2011,130000,"Gasoline","264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Brown","Black","At least 1 accident or damage reported","Yes",7000,0,3.6624
"1482",1482,"Mitsubishi","Lancer DE",2009,143346,"Gasoline","152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",3000,0,3.6624
"1483",1483,"Land","Rover LR2 Base",2015,112465,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","None reported","Yes",11995,0,3.6624
"1484",1484,"Nissan","Leaf SV PLUS",2023,5121,"Electric","Electric","1-Speed Automatic","Brilliant Silver Metallic","Black","None reported","Yes",28196,0,3.6624
"1485",1485,"Audi","A5 2.0T Premium",2012,137273,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",11000,0,3.6624
"1486",1486,"Rivian","R1S Launch Edition",2023,299,"Electric","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","Blue","Gray","None reported","Yes",92500,1,835
"1487",1487,"Lexus","RX 450h Base",2018,70780,"Hybrid","308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Silver","Gray","None reported","Yes",35700,0,3.6624
"1488",1488,"Chevrolet","Tahoe LT",2018,55000,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",37900,0,3.6624
"1489",1489,"Mercedes-Benz","G-Class G 550 4MATIC",2017,23151,"Gasoline","416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",84500,1,3.6624
"1490",1490,"Cadillac","XTS Luxury",2013,152000,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","At least 1 accident or damage reported","Yes",8500,0,3.6624
"1491",1491,"INFINITI","Q50 3.0t Red Sport 400",2020,23344,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","7-Speed Automatic","Liquid Platinum","White","None reported","No",36999,0,3.0624
"1492",1492,"Subaru","Outback 3.6R Limited",2016,87092,"Gasoline","256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","At least 1 accident or damage reported","Yes",19500,0,3.6624
"1493",1493,"Toyota","Avalon XLS",2004,90625,"Gasoline","210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","None reported","Yes",5500,0,3.6624
"1494",1494,"Chevrolet","Traverse RS",2021,44373,"Gasoline","310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Black","None reported","Yes",36000,0,3.6624
"1495",1495,"BMW","330 i",2021,26000,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",37000,0,3.6624
"1496",1496,"Karma","Revero Base",2018,20760,"Electric","403.0HP 2.0L Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",55500,1,3.6624
"1497",1497,"Lexus","GX 460 Base",2021,39102,"Gasoline","4.6 Liter","Automatic","Silver","Rioja Red","None reported","No",51798,1,4.6
"1498",1498,"Alfa","Romeo Stelvio Ti Sport",2019,39615,"Gasoline","2L I-4 gasoline direct injection, MultiAir2 variable valve contr","Automatic, 8-Spd","Vulcano Black Metallic","Red/Black","None reported","No",28900,0,242
"1499",1499,"GMC","Sierra 2500 Base",2019,58000,"E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","A/T","Silver","Beige","None reported","Yes",36500,0,3.6624
"1500",1500,"Lexus","IS 250 Base",2013,148000,"Gasoline","204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",10000,0,3.6624
"1501",1501,"Porsche","Panamera 2",2011,104000,"Gasoline","300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",20900,0,3.6624
"1502",1502,"BMW","535 i xDrive",2013,46150,"Gasoline","306.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","At least 1 accident or damage reported","Yes",17000,0,3.6624
"1503",1503,"Chevrolet","Silverado 2500 High Country",2022,18860,"Diesel","445.0HP 6.6L 8 Cylinder Engine Diesel Fuel","10-Speed A/T","Blue","Gray","None reported","Yes",74500,1,3.6624
"1504",1504,"Mercedes-Benz","AMG C 63 Base",2017,28399,"Gasoline","469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",55600,1,3.6624
"1505",1505,"Jeep","Wrangler Sahara",1998,136500,"Gasoline","181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","None reported","Yes",6999,0,3.6624
"1506",1506,"Porsche","Boxster S",2005,95170,"Gasoline","280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Gray","None reported","Yes",24900,0,3.6624
"1507",1507,"BMW","M3 Base",2006,95450,"Gasoline","333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Gray","At least 1 accident or damage reported","Yes",42000,0,3.6624
"1508",1508,"Chevrolet","Camaro LT1",2022,7652,"Gasoline","6.2 Liter","Automatic","Blue","Jet Black","None reported","No",39998,0,6.2
"1509",1509,"BMW","535 i xDrive",2011,169000,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","White","At least 1 accident or damage reported","Yes",10999,0,3.6624
"1510",1510,"RAM","1500 Laramie",2022,16744,"Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Delmonico Red Pearlcoat","Black","None reported","No",46999,0,5.7816
"1511",1511,"Mercedes-Benz","Metris Base",2020,1025,"Gasoline","2.0L I4 16V GDI DOHC Turbo","7-Speed Automatic","Black","Beige","None reported","Yes",299000,1,2.0416
"1512",1512,"Chevrolet","Express 1500 Cargo",2004,152000,"Gasoline","195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",7999,0,3.6624
"1513",1513,"BMW","X7 xDrive40i",2020,46000,"Gasoline","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",54999,1,3.6624
"1514",1514,"BMW","X7 xDrive40i",2022,8000,"Hybrid","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","Blue","Brown","None reported","Yes",85000,1,3.6624
"1515",1515,"Ferrari","F12berlinetta Base",2016,14770,"Gasoline","6.3L V12 48V GDI DOHC","7-Speed Automatic with Auto-Shift","Gray","–","None reported","No",254900,1,6.31248
"1516",1516,"Chevrolet","Silverado 2500 LT",2016,84421,"E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","White","Black","None reported","Yes",36800,0,3.6624
"1517",1517,"Mercedes-Benz","Maybach S 580 4MATIC",2022,4760,"Gasoline","4.0L V8 32V GDI DOHC Twin Turbo","9-Speed Automatic","Diamond White","Black","None reported","Yes",229000,1,4.0832
"1518",1518,"GMC","Sierra 1500 Denali",2021,44691,"Gasoline","6.2L V8 16V GDI OHV","10-Speed Automatic","White Frost Tri-Coat","Walnut","At least 1 accident or damage reported","No",56900,1,6.2816
"1519",1519,"Mitsubishi","Outlander SEL",2022,11700,"Gasoline","181.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",33000,0,3.6624
"1520",1520,"Ford","Shelby GT350 Base",2019,2800,"Gasoline","526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",91000,1,3.6624
"1521",1521,"MINI","Cooper Base",2010,58000,"Gasoline","118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gold","Black","None reported","Yes",8000,0,3.6624
"1522",1522,"Toyota","Prius Touring",2009,142500,"Hybrid","76.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid","A/T","Blue","Beige","None reported","Yes",6999,0,3.6624
"1523",1523,"Cadillac","Escalade ESV Base",2007,191900,"Gasoline","403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",9750,0,3.6624
"1524",1524,"Audi","A6 2.0T Premium Plus",2016,63398,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",19500,0,3.6624
"1525",1525,"Chevrolet","Suburban 1500 LT",2008,162750,"Gasoline","320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","Transmission Overdrive Switch","White","Black","At least 1 accident or damage reported","Yes",7200,0,3.6624
"1526",1526,"Jaguar","XK R",2012,38383,"Gasoline","510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",36949,0,3.6624
"1527",1527,"Porsche","911 Carrera GTS",2022,1837,"Gasoline","3.0L H6 24V GDI DOHC Twin Turbo","8-Speed Automatic with Auto-Shift","Aventurine Green Metallic","Agave Green","None reported","No",179900,1,3.0624
"1528",1528,"Audi","A4 2.0T Premium",2011,90818,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",8300,0,3.6624
"1529",1529,"Cadillac","ATS 2.0L Turbo",2018,32000,"Gasoline","272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",22999,0,3.6624
"1530",1530,"Ford","Transit-350 Base",2019,94650,"Gasoline","275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","–","None reported","Yes",37000,0,3.6624
"1531",1531,"Mercedes-Benz","G-Class G 63 AMG",2014,49899,"Gasoline","536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",72999,1,3.6624
"1532",1532,"Jeep","Wrangler Sahara",2011,55000,"Gasoline","202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",35000,0,3.6624
"1533",1533,"BMW","M4 Base",2015,23700,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",42800,0,3.6624
"1534",1534,"Tesla","Model S P100D",2018,46000,"Electric","518.0HP Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",59500,1,518
"1535",1535,"Maserati","Ghibli S GranLusso",2020,12118,"Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Brown","None reported","Yes",52900,1,3.6624
"1536",1536,"Pontiac","Firebird Trans Am",2001,64000,"Gasoline","310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Beige","None reported","Yes",21000,0,3.6624
"1537",1537,"Ford","Expedition XLT",2022,22169,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Black","Sandstone","None reported","Yes",57352,1,3.5624
"1538",1538,"Ferrari","812 Superfast Base",2020,1575,"Gasoline","788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","None reported","Yes",469900,1,3.6624
"1539",1539,"Tesla","Model X Long Range Plus",2021,46897,"Electric","557.0HP Electric Motor Electric Fuel System","A/T","Blue","Black","None reported","Yes",69000,1,557
"1540",1540,"Land","Rover Range Rover P400 SE SWB",2022,3369,"Hybrid","395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","White","Black","None reported","Yes",139500,1,3.6624
"1541",1541,"BMW","535 i xDrive",2011,135000,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Beige","None reported","Yes",9999,0,3.6624
"1542",1542,"BMW","428 i xDrive",2015,125000,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",15000,0,3.6624
"1543",1543,"Cadillac","Escalade ESV Platinum",2017,134000,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gold","Brown","None reported","Yes",32999,0,3.6624
"1544",1544,"BMW","X5 xDrive35i",2014,143250,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","White","None reported","Yes",12999,0,3.6624
"1545",1545,"Lexus","GX 460 Premium",2017,82975,"Gasoline","301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",31000,0,3.6624
"1546",1546,"MINI","Countryman Cooper S ALL4",2016,91700,"Gasoline","181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",13999,0,3.6624
"1547",1547,"Ford","F-150 XLT",2018,72393,"Gasoline","325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Black","None reported","Yes",35000,0,3.6624
"1548",1548,"INFINITI","QX60 Base",2016,71000,"Gasoline","265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",21500,0,3.6624
"1549",1549,"Lexus","RX 350 Base",2012,160900,"Gasoline","270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Gray","None reported","Yes",15000,0,3.6624
"1550",1550,"Dodge","Charger Scat Pack",2020,40208,"Gasoline","485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",38000,0,3.6624
"1551",1551,"Lexus","IS 350 Base",2017,77300,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",30000,0,3.6624
"1552",1552,"Nissan","NV200 SV",2017,16700,"Gasoline","131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",26500,0,3.6624
"1553",1553,"Subaru","Impreza 2.0i Premium",2013,112000,"Gasoline","148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Black","Beige","None reported","Yes",9999,0,3.6624
"1554",1554,"BMW","M3 Base",2016,55250,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","White","None reported","Yes",49999,0,3.6624
"1555",1555,"INFINITI","QX80 Luxe",2020,69000,"Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",31450,0,3.6624
"1556",1556,"Ford","Mustang GT Premium",2016,40570,"Gasoline","435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","At least 1 accident or damage reported","Yes",30490,0,3.6624
"1557",1557,"Toyota","RAV4 TRD Off Road",2020,46500,"Gasoline","203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",35200,0,3.6624
"1558",1558,"Honda","S2000 Base",2000,26900,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","M/T","Silver","Red","None reported","Yes",35000,0,3.6624
"1559",1559,"Ford","Bronco Big Bend Advanced",2023,12000,"Gasoline","275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","–","None reported","Yes",54000,1,3.6624
"1560",1560,"Ford","Expedition Timberline",2022,30301,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Dark Matter Metallic","Deep Cypress","None reported","Yes",68420,1,3.5624
"1561",1561,"Toyota","Sequoia TRD Pro",2023,600,"Hybrid","437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid","10-Speed A/T","Orange","Black","None reported","Yes",91995,1,3.6624
"1562",1562,"Plymouth","Prowler Base",2001,22300,"Gasoline","253.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Blue","Gray","None reported","Yes",28500,0,3.6624
"1563",1563,"Alfa","Romeo Giulia Ti",2023,9275,"Gasoline","2.0L I4 16V GDI SOHC Turbo","8-Speed Automatic","Alfa White","Black","None reported","No",43900,0,2.0416
"1564",1564,"Chevrolet","Suburban 1500 LS",2004,171750,"E85 Flex Fuel","295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","4-Speed A/T","White","Beige","At least 1 accident or damage reported","Yes",12998,0,3.6624
"1565",1565,"Mitsubishi","Lancer Evolution GSR",2013,76500,"Gasoline","291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","None reported","Yes",28000,0,3.6624
"1566",1566,"Mercedes-Benz","AMG GLE 43 Coupe 4MATIC",2018,49000,"Gasoline","385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","Brown","At least 1 accident or damage reported","Yes",42995,0,3.6624
"1567",1567,"Audi","R8 5.2 quattro Spyder",2011,75000,"Gasoline","525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Brown","At least 1 accident or damage reported","Yes",74000,1,3.6624
"1568",1568,"Ford","Escape XLT",2007,133300,"Gasoline","153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","4-Speed A/T","Silver","Silver","None reported","Yes",3000,0,3.6624
"1569",1569,"BMW","X5 3.0si",2007,99700,"Gasoline","260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",8500,0,3.6624
"1570",1570,"Chevrolet","Camaro 2LT",2011,126700,"Gasoline","312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","At least 1 accident or damage reported","Yes",14000,0,3.6624
"1571",1571,"BMW","340 i",2016,28000,"Gasoline","320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Red","None reported","Yes",36995,0,3.6624
"1572",1572,"Mercedes-Benz","SL-Class SL 550",2012,21300,"Gasoline","382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Red","At least 1 accident or damage reported","Yes",38500,0,3.6624
"1573",1573,"Cadillac","Escalade Platinum",2019,92000,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",51900,1,3.6624
"1574",1574,"Lexus","RC F Base",2015,25756,"Gasoline","467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",49995,0,3.6624
"1575",1575,"Kia","Forte GT-Line",2021,24534,"Gasoline","147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","White","Black","None reported","Yes",21900,0,3.6624
"1576",1576,"Land","Rover Range Rover Sport Supercharged Dynamic",2018,58100,"Gasoline","518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Black","None reported","Yes",53499,1,3.6624
"1577",1577,"Nissan","Titan S",2017,20220,"Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",32324,0,3.6624
"1578",1578,"Honda","Accord EX-L 2.0T",2019,40069,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",27500,0,3.6624
"1579",1579,"Subaru","WRX Base",2017,60930,"Gasoline","268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",23750,0,3.6624
"1580",1580,"Audi","A4 2.0T Titanium Premium",2019,7300,"Gasoline","188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",27900,0,3.6624
"1581",1581,"Chevrolet","Avalanche 1500 LS",2012,56000,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","A/T","Red","Black","At least 1 accident or damage reported","Yes",18000,0,3.6624
"1582",1582,"Mercedes-Benz","CLA-Class CLA 250",2014,136000,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",12000,0,3.6624
"1583",1583,"BMW","228 Gran Coupe i xDrive",2020,31100,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","White","None reported","Yes",26999,0,3.6624
"1584",1584,"Maserati","GranTurismo Base",2012,12100,"Gasoline","440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",37900,0,3.6624
"1585",1585,"Ford","Expedition Platinum",2021,51902,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Red","Ceramic","None reported","Yes",57480,1,3.5624
"1586",1586,"Audi","S4 Base",2007,93000,"Gasoline","340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",10995,0,3.6624
"1587",1587,"Land","Rover Range Rover Sport Supercharged HSE",2016,99915,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","White","At least 1 accident or damage reported","Yes",26500,0,3.6624
"1588",1588,"Ford","Mustang Mach-E GT",2022,7661,"Electric","Electric","1-Speed Automatic","Star White","Black Onyx","None reported","No",49599,0,3.6624
"1589",1589,"Chevrolet","Tahoe LTZ",2007,177000,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","4-Speed A/T","Gold","Beige","At least 1 accident or damage reported","Yes",10750,0,3.6624
"1590",1590,"Nissan","Xterra S",2008,100900,"Gasoline","261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",6999,0,3.6624
"1591",1591,"INFINITI","Q60 3.0T Premium",2017,107380,"Gasoline","300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Gray","At least 1 accident or damage reported","Yes",17500,0,3.6624
"1592",1592,"Ford","F-150 Raptor",2021,32957,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Oxford White","Black","None reported","No",77900,1,3.5624
"1593",1593,"Acura","TLX Base",2016,45000,"Gasoline","206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Blue","None reported","Yes",16500,0,3.6624
"1594",1594,"Nissan","Frontier SV",2013,67000,"Gasoline","261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","Blue","Gray","None reported","Yes",15500,0,3.6624
"1595",1595,"Chevrolet","Camaro 1SS",2021,12600,"Gasoline","455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","None reported","Yes",47000,0,3.6624
"1596",1596,"Porsche","Panamera 4",2018,24882,"Gasoline","330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",59800,1,3.6624
"1597",1597,"Acura","TLX PMC Edition",2020,6900,"Gasoline","290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Red","Black","None reported","Yes",43500,0,3.6624
"1598",1598,"Kia","Sorento EX V6",2019,66075,"Gasoline","3.3L V6 24V GDI DOHC","8-Speed Automatic","Titanium Silver","Satin Black","None reported","No",23754,0,3.3624
"1599",1599,"Hyundai","Palisade SEL",2021,68050,"Gasoline","291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",29600,0,3.6624
"1600",1600,"Ford","F-250 Lariat",2017,128000,"Diesel","440.0HP 6.7L 8 Cylinder Engine Diesel Fuel","6-Speed A/T","Gray","Black","None reported","Yes",50000,0,3.6624
"1601",1601,"BMW","430 i",2021,9472,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Blue","None reported","Yes",51000,0,3.6624
"1602",1602,"Mitsubishi","Lancer GTS",2009,185963,"Gasoline","168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Orange","Gray","At least 1 accident or damage reported","Yes",5100,0,3.6624
"1603",1603,"Nissan","NV200 S",2019,52000,"Gasoline","131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Black","Gray","At least 1 accident or damage reported","Yes",19500,0,3.6624
"1604",1604,"Buick","Enclave Leather",2015,68653,"Gasoline","288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Black","At least 1 accident or damage reported","Yes",18950,0,3.6624
"1605",1605,"Lexus","RX 330 Base",2004,151896,"Gasoline","230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Gray","None reported","Yes",7900,0,3.6624
"1606",1606,"Lexus","RX 450h F Sport",2019,43671,"Hybrid","3.5L V6 24V PDI DOHC Hybrid","Automatic CVT","Caviar","Rioja Red","None reported","No",44950,0,3.5624
"1607",1607,"Kia","Forte Koup EX",2013,134207,"Gasoline","156.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Black","–","At least 1 accident or damage reported","Yes",5500,0,3.6624
"1608",1608,"GMC","Terrain SLE",2020,26470,"Gasoline","1.5L I4 16V GDI DOHC Turbo","9-Speed Automatic","Summit White","Jet Black","None reported","Yes",29900,0,1.5416
"1609",1609,"Porsche","Macan Base",2018,82300,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",35000,0,3.6624
"1610",1610,"Lexus","RC 350 Base",2015,124000,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Blue","None reported","Yes",24000,0,3.6624
"1611",1611,"Audi","S4 3.0T Premium Plus",2020,23823,"Gasoline","3.0L V6 24V GDI DOHC Turbo","8-Speed Automatic","Tango Red Metallic","Black","None reported","Yes",49995,0,3.0624
